USAF,Site Name,State,Latitude,Longitude,TZ,Elev,Class,Pool
725660,SCOTTSBLUFF W B HEILIG FIELD,NE,41.867,-103.6,-7,1202,I,24
725670,VALENTINE MILLER FIELD,NE,42.867,-100.55,-6,789,I,12
725690,CASPER NATRONA CO INTL AP,WY,42.9,-106.467,-7,1627,I,24
725700,CRAIG-MOFFAT,CO,40.5,-107.533,-7,1915,II,12
725705,VERNAL,UT,40.433,-109.517,-7,1608,II,12
725715,HAYDEN/YAMPA (AWOS),CO,40.483,-107.217,-7,2012,II,12
725717,RIFLE/GARFIELD RGNL,CO,39.533,-107.717,-7,1691,III,12
725720,SALT LAKE CITY INT'L ARPT [ISIS],UT,40.77,-111.97,-7,1288,I,24
725724,PROVO MUNI (AWOS),UT,40.217,-111.717,-7,1369,II,12
725744,ROCK SPRINGS ARPT [GREEN RIVER - UO],WY,41.46,-109.44,-7,1000,I,24
725745,RAWLINS MUNICIPAL AP,WY,41.8,-107.2,-7,2053,II,12
725750,OGDEN HINKLEY AIRPORT,UT,41.2,-112.017,-7,1362,II,12
725755,OGDEN HILL AFB,UT,41.117,-111.967,-7,1459,II,12
725760,LANDER HUNT FIELD,WY,42.817,-108.733,-7,1694,I,24
725765,RIVERTON MUNICIPL AP,WY,43.05,-108.45,-7,1663,II,12
725775,EVANSTON/BURNS FLD,WY,41.283,-111.033,-7,2183,II,12
725776,JACKSON HOLE,WY,43.6,-110.733,-7,2016,II,12
725780,POCATELLO REGIONAL AP,ID,42.917,-112.567,-7,1353,I,24
725785,IDAHO FALLS FANNING FIELD,ID,43.517,-112.067,-7,1441,II,12
725786,MALAD CITY,ID,42.15,-112.283,-7,1362,II,12
725805,LOVELOCK DERBY FIELD,NV,40.067,-118.55,-8,1189,I,12
725810,WENDOVER USAF AUXILIARY FIELD,UT,40.717,-114.033,-8,1291,II,12
725825,ELKO MUNICIPAL ARPT,NV,40.833,-115.8,-8,1548,II,24
725830,WINNEMUCCA MUNICIPAL ARPT,NV,40.9,-117.8,-8,1310,I,24
725845,BLUE CANYON AP,CA,39.3,-120.717,-8,1609,II,12
725846,TRUCKEE-TAHOE,CA,39.317,-120.133,-8,1798,II,12
725847,SOUTH LAKE TAHOE,CA,38.9,-120,-8,1909,II,12
725865,HAILEY/FRIEDMAN MEM,ID,43.5,-114.3,-7,1620,II,12
725866,JOSLIN FLD MAGIC VA [TWIN FALLS - UO],ID,42.55,-114.35,-7,1200,II,12
725867,BURLEY MUNICIPAL ARPT,ID,42.533,-113.767,-7,1267,II,12
725868,SODA SPRINGS/TIGERT,ID,42.65,-111.583,-7,1780,II,12
725895,KLAMATH FALLS INTL AP [UO],OR,42.22,-121.74,-8,1220,II,12
725905,UKIAH MUNICIPAL AP,CA,39.133,-123.2,-8,189,II,12
725910,RED BLUFF MUNICIPAL ARPT,CA,40.15,-122.25,-8,106,II,12
725920,REDDING MUNICIPAL ARPT,CA,40.517,-122.317,-8,153,I,12
725945,ARCATA AIRPORT,CA,40.983,-124.1,-8,62,I,24
725946,CRESCENT CITY FAA AI,CA,41.783,-124.233,-8,17,II,12
725955,MONTAGUE SISKIYOU COUNTY AP,CA,41.783,-122.467,-8,803,II,12
725958,ALTURAS,CA,41.5,-120.533,-8,1341,II,12
725970,MEDFORD ROGUE VALLEY INTL AP [ASHLAND - UO],OR,42.19,-122.7,-8,595,I,24
725975,SEXTON SUMMIT,OR,42.6,-123.367,-8,1168,II,12
725976,LAKEVIEW (AWOS),OR,42.167,-120.4,-8,1441,II,12
726050,CONCORD MUNICIPAL ARPT,NH,43.2,-71.5,-5,106,I,24
726055,PEASE INTL TRADEPOR,NH,43.083,-70.817,-5,31,II,12
726060,PORTLAND INTL JETPORT,ME,43.65,-70.3,-5,14,I,24
726064,SANFORD MUNI (AWOS),ME,43.4,-70.717,-5,74,II,12
726073,WATERVILLE (AWOS),ME,44.533,-69.683,-5,101,II,12
726077,BAR HARBOR (AWOS),ME,44.45,-68.367,-5,26,II,12
726079,ROCKLAND/KNOX(AWOS),ME,44.067,-69.1,-5,17,II,12
726083,NORTHERN AROOSTOOK,ME,47.283,-68.317,-5,309,III,10
726088,BANGOR INTERNATIONAL AP,ME,44.8,-68.817,-5,56,I,12
726115,SPRINGFIELD/HARTNES,VT,43.35,-72.517,-5,176,III,10
726116,LEBANON MUNICIPAL,NH,43.633,-72.3,-5,182,II,12
726130,MOUNT WASHINGTON,NH,44.267,-71.3,-5,1910,II,12
726145,MONTPELIER AP,VT,44.2,-72.567,-5,343,II,12
726155,LACONIA MUNI (AWOS),NH,43.567,-71.417,-5,166,II,12
726160,BERLIN MUNICIPAL,NH,44.583,-71.183,-5,353,III,10
726165,DILLANT HOPKINS,NH,42.9,-72.267,-5,153,II,12
726170,BURLINGTON INTERNATIONAL AP,VT,44.467,-73.15,-5,101,I,24
726184,AUBURN-LEWISTON,ME,44.05,-70.283,-5,88,II,12
726185,AUGUSTA AIRPORT,ME,44.317,-69.8,-5,107,II,12
726196,MILLINOCKET MUNICIPAL AP,ME,45.65,-68.683,-5,124,III,12
726223,MASSENA AP,NY,44.933,-74.85,-5,65,I,24
726227,WATERTOWN AP,NY,44,-76.017,-5,97,II,12
726228,ADIRONDACK RGNL,NY,44.383,-74.2,-5,520,II,12
726350,GRAND RAPIDS KENT COUNTY INT',MI,42.883,-85.517,-5,242,I,24
726355,BENTON HARBOR/ROSS,MI,42.133,-86.433,-5,196,II,12
726357,KALAMAZOO BATTLE CR,MI,42.233,-85.55,-5,273,II,12
726360,MUSKEGON COUNTY ARPT,MI,43.167,-86.233,-5,190,I,24
726370,FLINT BISHOP INTL ARPT,MI,42.967,-83.75,-5,234,I,24
726375,OAKLAND CO INTL,MI,42.667,-83.417,-5,306,II,12
726379,SAGINAW TRI CITY INTL AP,MI,43.533,-84.083,-5,201,II,12
726380,HOUGHTON LAKE ROSCOMMON CO AR,MI,44.367,-84.683,-5,351,I,24
726384,CADILLAC WEXFORD CO AP,MI,44.283,-85.417,-5,396,III,12
726385,MANISTEE (AWOS),MI,44.267,-86.25,-5,189,II,12
726387,TRAVERSE CITY CHERRY CAPITAL,MI,44.733,-85.583,-5,188,I,24
726390,ALPENA COUNTY REGIONAL AP,MI,45.067,-83.583,-5,210,I,24
726395,OSCODA WURTSMITH AFB,MI,44.45,-83.4,-5,188,III,10
726400,MILWAUKEE MITCHELL INTL AP,WI,42.95,-87.9,-6,205,I,24
726404,MINOCQUA/WOODRUFF,WI,45.933,-89.733,-6,496,II,12
726410,MADISON DANE CO REGIONAL ARPT [ISIS],WI,43.13,-89.33,-6,262,I,24
726415,JANESVILLE/ROCK CO.,WI,42.617,-89.033,-6,246,III,10
726416,LONE ROCK FAA AP,WI,43.2,-90.183,-6,219,II,12
726430,LA CROSSE MUNICIPAL ARPT,WI,43.867,-91.25,-6,198,I,24
726435,EAU CLAIRE COUNTY AP,WI,44.867,-91.483,-6,271,I,24
726440,ROCHESTER INTERNATIONAL ARPT,MN,43.9,-92.5,-6,398,I,24
726450,GREEN BAY AUSTIN STRAUBEL INT,WI,44.483,-88.133,-6,209,I,24
726455,MANITOWAC MUNI AWOS,WI,44.133,-87.683,-6,198,II,12
726456,WITTMAN RGNL,WI,43.983,-88.55,-6,253,II,12
726457,APPLETON/OUTAGAMIE,WI,44.25,-88.517,-6,280,II,12
726458,STURGEON BAY,WI,44.85,-87.417,-5,221,II,12
726463,WAUSAU MUNICIPAL ARPT,WI,44.917,-89.633,-6,366,II,12
726464,WATERTOWN,WI,43.167,-88.717,-6,254,III,10
726465,MOSINEE/CENTRAL WI,WI,44.783,-89.667,-6,389,II,12
726467,RICE LAKE MUNICIPAL,WI,45.483,-91.717,-6,347,III,10
726468,PHILLIPS/PRICE CO.,WI,45.7,-90.4,-6,449,II,12
726480,ESCANABA (AWOS),MI,45.75,-87.033,-5,187,II,12
726487,MENOMINEE (AWOS),MI,45.133,-87.633,-6,191,II,12
726498,FAIR FIELD,IA,41.05,-91.983,-6,244,III,10
726499,ESTHERVILLE MUNI,IA,43.4,-94.75,-6,401,II,12
726500,SPENCER,IA,43.167,-95.15,-6,408,II,12
726510,SIOUX FALLS FOSS FIELD,SD,43.583,-96.75,-6,433,I,24
726515,BROOKINGS (AWOS),SD,44.3,-96.817,-6,502,II,12
726525,CHAN GURNEY MUNI,SD,42.917,-97.383,-6,408,II,12
726540,HURON REGIONAL ARPT,SD,44.4,-98.217,-6,390,I,24
726544,ORR,MN,48.017,-92.867,-6,397,III,12
726545,MITCHELL (AWOS),SD,43.767,-98.033,-6,397,II,12
726546,WATERTOWN MUNICIPAL AP,SD,44.933,-97.15,-6,532,II,12
726547,GLENWOOD (ASOS),MN,45.65,-95.317,-6,425,III,10
726550,ST CLOUD REGIONAL ARPT,MN,45.55,-94.05,-6,311,I,24
726555,BRAINERD/WIELAND,MN,46.4,-94.133,-6,374,II,12
726556,REDWOOD FALLS MUNI,MN,44.55,-95.083,-6,312,II,12
726557,ALEXANDRIA MUNICIPAL AP,MN,45.883,-95.4,-6,433,II,12
726558,CLOQUET (AWOS),MN,46.7,-92.5,-6,390,III,12
726559,MARSHALL/RYAN(AWOS),MN,44.45,-95.817,-6,359,II,12
726560,FERGUS FALLS(AWOS),MN,46.283,-96.15,-6,361,II,12
726563,FARIBAULT MUNI AWOS,MN,44.333,-93.317,-6,322,II,12
726564,RED WING,MN,44.583,-92.483,-6,239,II,12
726565,MORRIS MUNI (AWOS),MN,45.567,-95.967,-6,344,II,12
726566,PIPESTONE (AWOS),MN,43.983,-96.317,-6,529,II,12
726567,NEW ULM MUNI (AWOS),MN,44.317,-94.5,-6,308,II,12
726568,OWATONNA (AWOS),MN,44.117,-93.25,-6,350,III,12
726569,HUTCHINSON (AWOS),MN,44.867,-94.383,-6,323,III,12
726574,MARSHFIELD MUNI,WI,44.633,-90.183,-6,389,III,12
726575,MINNEAPOLIS/CRYSTAL,MN,45.067,-93.35,-6,265,II,12
726576,WILLMAR,MN,45.117,-95.083,-6,345,II,12
726578,LITTLE FALLS (AWOS),MN,45.95,-94.35,-6,342,III,12
726579,FLYING CLOUD,MN,44.817,-93.45,-6,283,II,12
726580,MINNEAPOLIS-ST PAUL INT'L ARP,MN,44.883,-93.233,-6,254,I,24
726583,LITCHFIELD MUNI,MN,45.1,-94.5,-6,347,II,12
726584,ST PAUL DOWNTOWN AP,MN,44.933,-93.05,-6,220,II,12
726585,MANKATO(AWOS),MN,44.217,-93.917,-6,311,II,12
726586,FAIRMONT MUNI(AWOS),MN,43.65,-94.417,-6,354,II,12
726587,WORTHINGTON (AWOS),MN,43.65,-95.583,-6,480,II,12
726588,WINONA MUNI (AWOS),MN,44.083,-91.7,-6,200,II,12
726589,ALBERT LEA (AWOS),MN,43.683,-93.367,-6,383,II,12
726590,ABERDEEN REGIONAL ARPT,SD,45.45,-98.417,-6,398,I,12
726603,SOUTH ST PAUL MUNI,MN,44.85,-93.15,-6,250,III,10
726620,RAPID CITY REGIONAL ARPT,SD,44.05,-103.05,-7,963,I,24
726625,ELLSWORTH AFB,SD,44.15,-103.1,-7,980,II,12
726626,ANTIGO\LANG(AWOS),WI,45.15,-87.15,-5,464,III,10
726650,GILLETTE/GILLETTE-C,WY,44.35,-105.533,-7,1230,II,12
726660,SHERIDAN COUNTY ARPT,WY,44.767,-106.967,-7,1208,I,24
726665,WORLAND MUNICIPAL,WY,43.967,-107.95,-7,1294,II,12
726676,GLENDIVE(AWOS),MT,47.133,-104.8,-7,749,II,12
726685,MOBRIDGE,SD,45.533,-100.433,-7,508,II,12
726686,PIERRE MUNICIPAL AP,SD,44.383,-100.283,-7,528,I,24
726700,CODY MUNI (AWOS),WY,44.517,-109.017,-7,1553,II,12
726770,BILLINGS LOGAN INT'L ARPT,MT,45.8,-108.55,-7,1087,I,24
726776,LEWISTOWN MUNICIPAL ARPT,MT,47.05,-109.45,-7,1263,II,24
726785,BUTTE BERT MOONEY ARPT,MT,45.95,-112.5,-7,1689,II,12
726797,BOZEMAN GALLATIN FIELD,MT,45.8,-111.15,-7,1349,II,12
726798,LIVINGSTON MISSION FIELD,MT,45.7,-110.45,-7,1418,II,12
726810,BOISE AIR TERMINAL [UO],ID,43.62,-116.21,-7,701,I,24
726813,CALDWELL (AWOS),ID,43.633,-116.633,-7,740,III,12
726815,MOUNTAIN HOME AFB,ID,43.05,-115.867,-7,912,II,12
726830,BURNS MUNICIPAL ARPT [UO],OR,43.52,-119.02,-8,1271,II,21
726835,REDMOND ROBERTS FIELD,OR,44.25,-121.167,-8,933,II,24
726865,SALMON/LEMHI (AWOS),ID,45.117,-113.883,-7,1233,III,12
726880,PENDLETON E OR REGIONAL AP,OR,45.7,-118.833,-8,452,I,24
726884,LA GRANDE MUNI AP,OR,45.283,-118,-8,827,II,12
726886,BAKER MUNICIPAL AP,OR,44.833,-117.817,-8,1027,II,12
726904,ROSEBURG REGIONAL AP,OR,43.233,-123.35,-8,160,II,12
726917,NORTH BEND MUNI AIRPORT,OR,43.417,-124.25,-8,2,II,24
726930,EUGENE MAHLON SWEET ARPT [UO],OR,44.05,-123.07,-8,109,I,24
726940,SALEM MCNARY FIELD,OR,44.9,-123,-8,60,I,24
726945,CORVALLIS MUNI,OR,44.483,-123.283,-8,77,II,12
726959,AURORA STATE,OR,45.25,-122.767,-8,60,III,11
726980,PORTLAND INTERNATIONAL AP,OR,45.6,-122.617,-8,6,I,24
726985,PORTLAND/TROUTDALE,OR,45.55,-122.4,-8,11,II,12
726986,PORTLAND/HILLSBORO,OR,45.533,-122.95,-8,62,II,12
726988,THE DALLES MUNICIPAL ARPT,WA,45.617,-121.15,-8,73,II,12
727033,HOULTON INTL ARPT,ME,46.117,-67.8,-5,150,II,12
727120,CARIBOU MUNICIPAL ARPT,ME,46.867,-68.033,-5,190,I,24
727130,PRESQUE ISLE MUNICIP,ME,46.683,-68.05,-5,163,II,12
727135,WISCASSET,ME,43.967,-69.717,-5,21,III,10
727340,SAULT STE MARIE SANDERSON FIE,MI,46.467,-84.35,-5,219,I,24
727344,CHIPPEWA CO INTL,MI,46.25,-84.467,-5,250,II,12
727347,PELLSTON EMMET COUNTY AP,MI,45.567,-84.783,-5,218,II,12
727415,RHINELANDER ONEIDA,WI,45.633,-89.467,-6,507,II,12
727437,IRON MOUNTAIN/FORD,MI,45.817,-88.117,-6,360,II,12
727440,HANCOCK HOUGHTON CO AP,MI,47.167,-88.5,-5,327,II,12
727444,TWO HARBORS,MN,47.05,-91.75,-6,328,III,12
727445,IRONWOOD (AWOS),MI,46.533,-90.133,-6,375,II,12
727450,DULUTH INTERNATIONAL ARPT,MN,46.833,-92.217,-6,433,I,24
727452,CROOKSTON MUNI FLD,MN,47.85,-96.617,-6,273,III,12
727453,PARK RAPIDS MUNICIPAL AP,MN,46.9,-95.067,-6,437,II,12
727455,HIBBING CHISHOLM-HIBBING AP,MN,47.383,-92.85,-6,411,II,12
727457,DETROIT LAKES(AWOS),MN,46.833,-95.883,-6,426,II,12
727458,GRAND RAPIDS(AWOS),MN,47.217,-93.517,-6,413,II,12
727459,ELY MUNI,MN,47.817,-91.833,-6,455,II,12
727470,INTERNATIONAL FALLS INTL AP,MN,48.567,-93.4,-6,359,I,24
727473,CRANE LAKE (AWOS),MN,46.267,-92.567,-6,350,II,12
727474,EVELETH MUNI (AWOS),MN,47.4,-92.5,-6,421,III,12
727475,MORA MUNI (AWOS),MN,45.883,-93.267,-6,309,II,12
727476,BAUDETTE INTERNATIONAL AP,MN,48.717,-94.6,-6,330,III,10
727477,ROSEAU MUNI (AWOS),MN,48.85,-95.7,-6,323,II,12
727478,HALLOCK,MN,48.783,-96.95,-6,250,III,12
727503,CAMBRIDGE MUNI,MN,45.567,-93.267,-6,287,III,12
727504,AITKIN NDB(AWOS),MN,46.55,-93.683,-6,367,III,12
727505,FOSSTON(AWOS),MN,47.583,-95.767,-6,388,III,12
727507,BENSON MUNI,MN,45.317,-95.65,-6,317,III,11
727530,FARGO HECTOR INTERNATIONAL AP,ND,46.933,-96.817,-6,274,I,24
727533,WHEATON NDB (AWOS),MN,45.7,-96.5,-6,313,III,12
727535,JAMESTOWN MUNICIPAL ARPT,ND,46.917,-98.683,-6,455,II,12
727550,BEMIDJI MUNICIPAL,MN,47.5,-94.933,-6,420,II,12
727555,THIEF RIVER(AWOS),MN,48.067,-96.183,-6,340,II,12
727556,SILVER BAY,MN,47.2,-91.4,-6,331,III,12
727566,AUSTIN MUNI,MN,43.667,-92.933,-6,375,III,12
727573,DEVILS LAKE(AWOS),ND,48.117,-98.917,-6,443,II,12
727575,GRAND FORKS AF,ND,47.967,-97.4,-6,276,II,12
727576,GRAND FORKS INTERNATIONAL AP,ND,47.95,-97.183,-6,256,II,12
727640,BISMARCK MUNICIPAL ARPT [ISIS],ND,46.77,-100.77,-7,502,I,24
727645,DICKINSON MUNICIPAL AP,ND,46.8,-102.8,-7,788,II,12
727670,WILLISTON SLOULIN INTL AP,ND,48.2,-103.65,-6,580,I,12
727675,MINOT AFB,ND,48.417,-101.35,-6,497,II,12
727676,MINOT FAA AP,ND,48.267,-101.283,-6,523,I,21
727680,GLASGOW INTL ARPT,MT,48.217,-106.617,-7,699,I,24
727686,WOLF POINT INTL [FORT PECK - SURFRAD],MT,48.31,-105.1,-7,634,II,12
727687,SIDNEY-RICHLAND,MT,47.7,-104.2,-7,605,II,12
727720,HELENA REGIONAL AIRPORT,MT,46.6,-111.967,-7,1167,I,24
727730,MISSOULA INTERNATIONAL AP,MT,46.917,-114.1,-7,973,I,24
727750,GREAT FALLS INTL ARPT,MT,47.467,-111.383,-7,1117,I,24
727770,HAVRE CITY-COUNTY AP,MT,48.55,-109.767,-7,788,II,12
727790,KALISPELL GLACIER PK INT'L AR,MT,48.317,-114.25,-7,906,I,24
727796,CUT BANK MUNI AP,MT,48.6,-112.367,-7,1170,II,21
727810,YAKIMA AIR TERMINAL,WA,46.567,-120.55,-8,324,I,24
727815,STAMPEDE PASS,WA,47.283,-121.333,-8,1206,II,12
727825,WENATCHEE/PANGBORN,WA,47.4,-120.2,-8,379,II,12
727826,EPHRATA AP FCWOS,WA,47.3,-119.517,-8,384,II,12
727827,MOSES LAKE GRANT COUNTY AP,WA,47.2,-119.317,-8,364,II,12
727830,LEWISTON NEZ PERCE CNTY AP,ID,46.367,-117.017,-8,438,I,12
727834,COEUR D`ALENE(AWOS),ID,47.767,-116.817,-8,707,II,12
727840,HANFORD,WA,46.567,-119.6,-8,223,II,12
727845,PASCO,WA,46.267,-119.117,-8,136,II,12
727846,WALLA WALLA CITY COUNTY AP,WA,46.1,-118.283,-8,355,II,12
727850,SPOKANE INTERNATIONAL AP [CHENEY - UO],WA,47.49,-117.589,-8,777,I,24
727855,FAIRCHILD AFB,WA,47.633,-117.65,-8,743,II,12
727856,FELTS FLD,WA,47.683,-117.317,-8,610,II,12
727857,PULLMAN/MOSCOW RGNL,WA,46.75,-117.117,-8,778,II,12
727885,WILLIAM R FAIRCHILD,WA,48.117,-123.5,-8,91,III,12
727910,ASTORIA REGIONAL AIRPORT,OR,46.15,-123.883,-8,3,II,24
727920,OLYMPIA AIRPORT,WA,46.967,-122.9,-8,63,I,24
727923,HOQUIAM AP,WA,46.983,-123.933,-8,4,II,12
727924,KELSO WB AP,WA,46.133,-122.9,-8,5,II,12
727926,TOLEDO-WINLOCK MEM,WA,46.483,-122.8,-8,113,II,12
727928,BREMERTON NATIONAL,WA,47.483,-122.75,-8,137,II,12
727930,SEATTLE SEATTLE-TACOMA INTL A,WA,47.467,-122.317,-8,122,I,24
727934,RENTON MUNI,WA,47.483,-122.217,-8,10,II,12
727935,SEATTLE BOEING FIELD [ISIS],WA,47.68,-122.25,-8,20,II,12
727937,SNOHOMISH CO,WA,47.9,-122.283,-8,189,II,12
727938,TACOMA NARROWS,WA,47.267,-122.583,-8,91,II,12
727970,QUILLAYUTE STATE AIRPORT,WA,47.933,-124.567,-8,55,I,24
727976,BELLINGHAM INTL AP,WA,48.8,-122.533,-8,45,II,12
742060,TACOMA MCCHORD AFB,WA,47.15,-122.483,-8,88,II,12
742070,GRAY AAF,WA,47.083,-122.583,-8,90,II,12
742300,MILES CITY MUNICIPAL ARPT,MT,46.433,-105.883,-7,801,II,22
743700,FORT DRUM/WHEELER-S,NY,44.05,-75.717,-5,211,II,12
743920,NAVAL AIR STATION,ME,43.9,-69.933,-5,21,II,12
743945,MANCHESTER AIRPORT,NH,42.933,-71.433,-5,69,II,12
744655,AURORA MUNICIPAL,IL,41.767,-88.467,-6,215,II,12
744860,NEW YORK J F KENNEDY INT'L AR,NY,40.65,-73.8,-5,5,I,12
744864,REPUBLIC,NY,40.717,-73.417,-5,26,II,12
744865,WESTHAMPTON GABRESKI AP,NY,40.85,-72.633,-5,20,II,12
744904,LAWRENCE MUNI,MA,42.717,-71.117,-5,46,II,12
744910,CHICOPEE FALLS WESTO,MA,42.2,-72.533,-5,75,II,12
744915,WESTFIELD BARNES MUNI AP,MA,42.15,-72.717,-5,83,II,12
745090,MOUNTAIN VIEW MOFFETT FLD NAS,CA,37.4,-122.05,-8,12,III,10
745160,TRAVIS FIELD AFB,CA,38.267,-121.933,-8,18,II,12
745700,DAYTON WRIGHT PATTERSON AFB,OH,39.833,-84.05,-5,250,II,12
745940,ANDREWS AFB,MD,38.817,-76.867,-5,86,II,12
745966,CAPE MAY CO,NJ,39,-74.917,-5,7,III,12
745980,LANGLEY AFB,VA,37.083,-76.35,-5,3,II,12
745985,MARTINSVILLE,VA,36.633,-80.017,-5,287,III,10
746120,CHINA LAKE NAF,CA,35.683,-117.683,-8,677,II,12
746710,FORT CAMPBELL AAF,KY,36.667,-87.483,-6,173,II,12
746716,BOWLING GREEN WARREN CO AP,KY,36.983,-86.433,-6,161,II,12
746930,FORT BRAGG SIMMONS AAF,NC,35.133,-78.933,-5,93,II,12
746943,ELIZABETH CITY COAST GUARD AI [NREL],NC,36.3,-76.25,-5,4,III,10
747020,LEMOORE REEVES NAS,CA,36.333,-119.95,-8,73,II,12
747185,IMPERIAL,CA,32.833,-115.583,-8,-17,II,12
747187,PALM SPRINGS THERMAL AP,CA,33.633,-116.167,-8,-34,II,12
747188,BLYTHE RIVERSIDE CO ARPT,CA,33.617,-114.717,-8,119,II,12
747320,HOLLOMAN AFB,NM,32.85,-106.1,-7,1248,II,12
747540,ENGLAND AFB,LA,31.317,-92.55,-6,27,III,11
747685,GULFPORT BILOXI INT,MS,30.4,-89.067,-6,9,II,12
747686,KEESLER AFB,MS,30.417,-88.917,-6,8,II,12
747750,TYNDALL AFB,FL,30.067,-85.583,-6,7,II,12
747770,VALPARAISO HURLBURT,FL,30.417,-86.683,-6,12,II,12
747804,HUNTER AAF,GA,32,-81.15,-5,13,II,12
747810,MOODY AFB/VALDOSTA,GA,30.967,-83.2,-5,71,II,12
747880,MACDILL AFB,FL,27.85,-82.517,-5,8,II,12
747900,SUMTER SHAW AFB,SC,33.967,-80.467,-5,74,II,12
747910,MYRTLE BEACH AFB,SC,33.683,-78.933,-5,8,II,12
747915,NORTH MYRTLE BEACH GRAND STRA,SC,33.817,-78.717,-5,10,II,12
747946,NASA SHUTTLE FCLTY,FL,28.617,-80.717,-5,3,III,12
785140,AQUADILLA/BORINQUEN,PR,18.5,-67.133,-4,72,II,12
785145,EUGENIO MARIA DE HO,PR,18.25,-67.15,-4,9,II,12
785203,MERCEDITA,PR,18,-66.55,-4,8,II,12
785260,SAN JUAN INTL ARPT,PR,18.417,-66,-4,19,II,24
785263,SAN JUAN L M MARIN INTL AP,PR,18.433,-66,-4,3,III,10
785350,ROOSEVELT ROADS,PR,18.25,-65.633,-4,12,III,10
785430,CHARLOTTE AMALIE HARRY S TRUM,VI,18.35,-64.967,-4,6,II,12
911650,LIHUE AIRPORT,HI,21.983,-159.333,-10,31,I,24
911760,KANEOHE BAY MCAS,HI,21.45,-157.783,-10,3,II,12
911780,BARBERS POINT NAS,HI,21.317,-158.067,-10,15,II,12
911820,HONOLULU INTL ARPT,HI,21.317,-157.933,-10,2,I,24
911860,MOLOKAI (AMOS),HI,21.15,-157.1,-10,137,II,12
911900,KAHULUI AIRPORT,HI,20.9,-156.433,-10,16,I,24
911904,KAPALUA,HI,20.95,-156.633,-10,80,II,12
911905,LANAI,HI,20.783,-156.95,-10,409,II,12
911975,KONA INTL AT KEAHOL,HI,19.733,-156.05,-10,15,III,10
912120,GUAM WFO,GU,13.483,144.8,10,77,II,24
912180,ANDERSEN AFB,GU,13.567,144.917,10,162,II,12
912850,HILO INTERNATIONAL AP,HI,19.717,-155.05,-10,9,I,24
